,Car Name,Price,Year,Car Make,Car Model,Body Style,Condition Status,Mileage,Transmission Type,Engine Power,Fuel Type,Exterior Color,Interior Color,Stock Number,Vin Number
16,2015 NISSAN NOTE," KSh980,000.00",2015,Nissan,Note,Hatchback,Foreign Used,"50,000Kms",Automatic,1200CC,Petrol,Brown,Jet Black,HOC0161,HOCK2022X0161
17,2015 DAIHATSU MIRA EIS," KSh780,000.00",2015,DAIHATSU,MIRA EIS,Hatchback,Foreign Used,,Automatic,650CC,Petrol,Pearl White,Jet Black,HOC0160,HOCK2022X0160
18,2010 TOYOTA PRADO TX( SUNROOF )," KSh3,500,000.00",2010,Toyota,Prado TX,SUV,Pre-Owned,,Automatic,2700CC,Petrol,Pearl White,Ebony w/Perforated Leather Seating Surfaces,HOC0159,HOCK2022X0159
19,2015 PEUGEOT 208," KSh1,050,000.00",2015,Peugeot,208,Hatchback,Foreign Used,"70,000Kms",Automatic,1200CC,Petrol,Brown,Jet Black,HOC0158,HOCK2022X0158
20,2012 LANDCRUISER 48 VX," KSh6,500,002.00",2012,Toyota,LANDCRUISER V8 VX ( 2016 FACELIFT),SUV,Pre-Owned,"75,000Kms",Automatic,4600CC,Petrol,Black,Ebony w/Perforated Leather Seating Surfaces,HOC0157,HOCK2022X0157
21,2015 BMW X5 M-SPORT," KSh6,500,000.00",2015,BMW,X5 M-SPORT,SUV,Foreign Used,"70,000Kms",Automatic Turbo,3000CC,Petrol,Black,Ebony w/Perforated Leather Seating Surfaces,HOC0156,HOCK2022X0156
22,2015 NISSAN MARCH," KSh890,000.00",,Nissan,March,Hatchback,Foreign Used,"65,000Kms",Automatic,1300CC,Petrol,Silver,Jet Black,HOC0155,HOCK2022X0155
23,2016 PEUGEOT 308," KSh1,690,000.00",2016,Peugeot,308,Hatchback,Foreign Used,"40,000Kms",Automatic Turbo,1200CC,Petrol,Dark Blue,Ebony w/Perforated Leather Seating Surfaces,HOC0154,HOCK2022X0154
24,2015 AUDI A4," KSh2,550,000.00",2015,Audi,A4,Sedan,Foreign Used,"58,000Kms",Automatic,1800CC,Petrol,Pearl White,Ebony w/Perforated Leather Seating Surfaces,HOC0153,HOCK2022X0153
25,2013 AUDI Q5 S-LINE," KSh3,250,000.00",2013,Audi,Q5 S-LINE,S. Wagon,Pre-Owned,"117,000Kms",Automatic,2000CC,Petrol,Pearl White,Jet Black,HOC0152,HOCK2022X0152
26,2017 LAND ROVER DISCOVERY 5," KSh11,700,000.00",2017,Land Rover,Discovery 5,SUV,Foreign Used,"32,000Kms",Automatic,3000CC,Petrol,Brown,Jet Black/Dark Titanium,HOC0151,HOCK2022X0151
27,2010 MERCEDES BENZ E300," KSh2,250,000.00",2010,Mercedes-Benz,E300,Sedan,Pre-Owned,83000Kms,Automatic,3000CC,Petrol,Grey,Jet Black,HOC0150,HOCK2022X0150
28,2015 NISSAN NOTE," KSh990,000.00",2015,Nissan,Note,S. Wagon,Foreign Used,"40,000Kms",Automatic,1200CC,Petrol,Silver,Jet Black,HOC0149,HOCK2022X0149
29,2014 VOLKSWAGEN GOLF," KSh1,595,000.00",2014,Volkswagen,Golf GTI MK7,S. Wagon,Foreign Used,"89,000Kms",Automatic,1400CC,Petrol,Blue,Jet Black,HOC0148,HOCK2022X0148
30,2014 MERCEDES BENZ C180 AMG LINE," KSh3,300,000.00",2014,Mercedes-Benz,C180,Sedan,Foreign Used,"49,000Kms",Automatic,1600CC DIT TURBO,Petrol,Silver,Ebony w/Perforated Leather Seating Surfaces,HOC0147,HOCK2022X0147
